indicator,geo,sector,period,available_at,value,availability_basis,source_url,retrieved_at
usd_eur,*,*,2025-08-01,2025-09-08,1.1631428571428575,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2025-09-01,2025-10-08,1.1732227272727274,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2025-10-01,2025-11-08,1.1630434782608696,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2025-11-01,2025-12-08,1.15602,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2025-12-01,2026-01-08,1.1708714285714283,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-01-01,2026-02-08,1.1738238095238096,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-02-01,2026-03-08,1.182395,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-03-01,2026-04-08,1.1558318181818181,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-04-01,2026-05-08,1.1706400000000001,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-05-01,2026-06-08,1.16732,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-06-01,2026-07-08,1.1518,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-07-01,2026-08-08,1.1417478260869562,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
usd_eur,*,*,2026-08-01,2026-09-08,1.1593095238095241,assumed_lag,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?startPeriod=2024-01&endPeriod=2026-08&format=csvdata,2026-09-19
industrial_production,ES,industry,2024-01-01,2026-09-19,102.4,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-02-01,2026-09-19,103.9,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-03-01,2026-09-19,101.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-04-01,2026-09-19,101.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-05-01,2026-09-19,100.2,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-06-01,2026-09-19,101.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-07-01,2026-09-19,99.9,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-08-01,2026-09-19,99.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-09-01,2026-09-19,101.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-10-01,2026-09-19,102.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-11-01,2026-09-19,100.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2024-12-01,2026-09-19,102.2,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-01-01,2026-09-19,101.4,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-02-01,2026-09-19,102.4,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-03-01,2026-09-19,102.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-04-01,2026-09-19,101.5,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-05-01,2026-09-19,101.7,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-06-01,2026-09-19,103.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
